Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2015;Maret;29;-1.4;-4.1;30.2;29.5;1977;1551;3;1393
2015;Maret;30;-3.5;-3;35.2;26.3;906;1591;1563;1245
2015;Maret;31;-2.2;-1.2;26.7;35.9;1498;1745;1;7
2015;April;1;-2.3;-4.5;32.2;34.2;1050;1043;1748;3022
2015;April;2;-4.7;-3.8;22.6;34.4;1381;1361;2226;1293
2015;April;3;-2.4;-1.7;35.5;35.8;1759;1640;1222;174
2015;April;4;-1.4;-4.2;35.6;30.3;1687;863;585;2133
2015;April;5;-4.9;-4.2;31.3;31.7;1710;1598;1917;2148
2015;April;6;-5.6;-4.5;36.2;33.3;1015;1286;2503;2075
2015;April;7;-4.6;-1.9;38.9;33.6;636;2054;1781;584
2015;April;8;0.3;-1.7;33.7;34.9;1992;2219;24;682
2015;April;9;-1.4;-1.7;34;27.3;1635;2232;602;1146
2015;April;10;-1.7;-2.5;25.7;33.7;1707;1746;891;985
2015;April;11;-4.1;-3.3;30.6;33.4;1109;1362;2287;1566
2015;April;12;-3.6;-3.9;38.1;37.8;1595;934;877;1305
2015;April;13;-2.6;-3.3;34.5;34;1612;1362;1339;1360
2015;April;14;-1.7;-2.9;34;34;1220;1066;441;1807
2015;April;15;-2.1;-3.3;30.8;34.2;1102;1340;1077;1689
2015;April;16;-6;-3;34.6;34.6;993;1227;3958;999
2015;April;17;-4.7;-5.1;31.3;36.1;1281;1248;2268;2257
2015;April;18;-5.7;-4.9;35.6;35;1518;1095;1707;3119
2015;April;19;-2.8;-5.5;36;37.3;1379;1059;641;3579
2015;April;20;-1.9;-4.2;32.7;37;1154;1089;607;1617
2015;April;21;-4.2;-4.5;37.6;34.6;1456;1037;1193;1642
2015;April;22;-6.4;;38;;1279;;3120;
2015;April;23;-4.6;0.7;34.1;34.2;1785;1644;1828;306
2015;April;24;-2.4;-1.6;33.1;37.8;1424;1561;956;341
2015;April;25;-3;-4.6;36.1;33.8;1319;700;1240;2249
2015;April;26;-1.2;-1.6;34.5;33.9;1577;1273;335;261
2015;April;27;-1.6;-2.8;31.7;37.2;1695;1208;567;895
2015;April;28;-3.4;-4;36.7;33.9;1429;1543;1433;1698
2015;April;29;-3.8;-6.3;34.7;35.9;1020;849;1749;3665
2015;April;30;-4;-1.3;30.8;39.3;1157;1202;1896;112
2015;Mei;1;-3.8;-4.2;34.5;40.8;1719;729;1292;1830
2015;Mei;2;5.6;-0.4;39.7;38.9;954;1632;0;140
2015;Mei;3;-3;-2.3;35.7;35.2;1392;1239;1066;1162
2015;Mei;4;-5.8;-1.8;38.5;38.2;923;1899;2715;329
2015;Mei;5;-1.1;-1.8;31.6;33.4;2206;1425;208;703
2015;Mei;6;-2.5;-1.5;28.8;21.1;1427;1590;1110;17
2015;Mei;7;-0.5;0.3;21.1;16.5;2652;2900;7;5
2015;Mei;8;1.4;1.4;8.3;8.8;2082;1687;22;6
2015;Mei;9;-0.1;-0.7;29.8;28.7;1876;1892;153;169
2015;Mei;10;-2.3;-0.8;29;15.5;1271;1913;960;62
2015;Mei;11;-2.1;-0.9;29.9;35;1859;1625;1124;179
2015;Mei;12;-3.1;-3.6;31.2;34;1423;1456;1773;1971
2015;Mei;13;-4.2;-5.1;33.6;32.9;1444;1081;1777;2570
2015;Mei;14;-3.1;-1.8;30.1;27.5;1027;1113;1388;1009
2015;Mei;15;-0.2;0.9;14.3;19;1190;1479;14;6
2015;Mei;16;-0.6;-0.3;21.8;21.1;1074;1527;268;11
2015;Mei;17;0.5;1.8;10.1;10.2;1186;2196;7;0
2015;Mei;18;-1;-1.4;16.3;6.9;2153;3039;5;194
2015;Mei;19;3.5;0.3;-9.7;1.6;2253;1873;0;52
2015;Mei;20;1.9;-1.3;-8.1;-7.7;2363;3513;0;47
2015;Mei;21;2.4;-1.5;-12.3;-10.5;3221;1806;0;43
2015;Mei;22;2.9;-2.3;-7.7;8.2;2229;1870;0;43
2015;Mei;23;-0.2;-3.5;7.9;2.5;1487;1629;3;1638
2015;Mei;24;-4.6;-6.9;11.4;9.8;1196;1096;1593;3096
2015;Mei;25;-1.9;-6;28.8;33.4;1301;1427;11;2939
2015;Mei;26;-0.7;-1.9;37.5;30.9;869;1580;2527;1283
2015;Mei;27;-3;-3.9;18.7;18.4;855;1130;43;13
2015;Mei;28;-3;-2.3;13.8;20.2;1110;1803;19;578
2015;Mei;29;-0.2;-3.2;26.7;32;2056;1423;64;864
2015;Mei;30;-3.5;-4.4;33.6;36.3;1496;1235;1062;1853
2015;Mei;31;-2.4;-4.6;29.9;30.5;1068;1252;16;3086
2016;Maret;1;-0.9;-3.6;34.8;37.5;1398;1119;;1619
2016;Maret;2;-1.7;0.3;36.2;38.6;1812;1419;463;6
2016;Maret;3;-1.7;-1.2;36.1;38.2;1709;1393;200;119
